,price,total_square,rooms,floor
105,13430348,59.01,2.0,6.0
107,33000000,101.1,4.0,9.0
108,5487560,31.78,1.0,14.0
109,99000000,144.0,4.0,21.0
110,64900000,120.9,3.0,3.0
111,73000000,104.0,3.0,16.0
112,13817440,40.88,2.0,3.0
113,13600000,85.4,3.0,12.0
114,23000000,104.5,3.0,7.0
115,14093644,54.0,2.0,6.0
116,11800000,37.2,1.0,14.0
117,50000000,84.5,3.0,2.0
118,30818150,69.0,2.0,12.0
119,15000000,45.0,1.0,2.0
120,10050000,44.7,2.0,1.0
121,43900000,130.0,3.0,16.0
122,13200000,50.4,2.0,4.0
123,9500000,62.3,3.0,9.0
124,26000000,77.0,2.0,7.0
125,20000000,64.0,3.0,4.0
126,9450000,64.8,2.0,12.0
127,7100000,58.6,2.0,5.0
129,5500000,37.0,1.0,3.0
130,23836800,62.4,2.0,38.0
131,14480000,64.1,3.0,1.0
132,35897600,79.0,2.0,29.0
133,10423970,37.0,2.0,14.0
134,18300000,40.72,1.0,4.0
135,21600000,61.5,3.0,8.0
137,30384875,84.5,3.0,2.0
138,9890000,32.8,1.0,7.0
139,12750000,40.0,1.0,14.0
140,28745640,76.86,3.0,8.0
141,14400000,41.7,2.0,4.0
142,12300000,64.0,2.0,10.0
143,16500000,72.0,2.0,3.0
144,7800000,30.2,1.0,2.0
146,10099999,35.7,1.0,2.0
147,49900000,87.6,3.0,14.0
149,13169486,37.92,2.0,19.0
150,32000000,48.0,1.0,11.0
151,158000000,250.0,5.0,1.0
152,22000000,54.0,2.0,1.0
153,12081480,25.0,1.0,38.0
154,8200000,65.1,2.0,6.0
155,8950000,53.0,2.0,16.0
156,28215000,51.3,2.0,2.0
157,20800000,69.6,3.0,6.0
158,13900000,32.0,1.0,4.0
159,9701054,36.4,1.0,15.0
160,41565498,72.7,2.0,25.0
161,9836852,39.1,1.0,23.0
162,9851047,25.1,1.0,20.0
163,22800000,78.0,3.0,13.0
164,25418400,45.0,1.0,37.0
165,10498999,41.4,2.0,2.0
166,15319646,63.03,3.0,18.0
167,11700000,60.0,2.0,6.0
168,13600000,44.4,2.0,3.0
170,42475952,99.0,3.0,11.0
171,11299000,65.0,2.0,13.0
172,10195464,36.0,1.0,15.0
173,120857100,116.5,3.0,12.0
174,14500000,53.0,1.0,4.0
175,11600000,38.0,1.0,9.0
176,89995000,106.0,4.0,6.0
177,44900000,131.3,3.0,4.0
178,56012171,108.9,3.0,42.0
179,7000000,40.0,2.0,5.0
180,14700000,43.0,2.0,19.0
182,17093468,40.64,1.0,7.0
183,13750000,44.6,2.0,1.0
184,37157500,83.5,2.0,3.0
185,17100000,56.0,2.0,14.0
186,11799000,45.4,2.0,5.0
187,125000000,174.0,4.0,13.0
188,6950000,30.9,1.0,14.0
189,49000000,95.0,3.0,18.0
190,18845624,35.1,1.0,20.0
191,21999000,85.0,3.0,4.0
192,11646180,36.4,1.0,16.0
193,35000000,98.0,3.0,8.0
194,26618127,80.83,3.0,26.0
195,24227325,65.25,2.0,43.0
196,10999999,31.5,1.0,3.0
197,19200000,79.2,3.0,3.0
198,13500000,63.4,2.0,2.0
199,14979800,62.0,2.0,9.0
200,18838804,64.0,2.0,5.0
201,23300000,56.2,2.0,7.0
202,26947528,50.0,1.0,13.0
203,11173658,40.6,2.0,10.0
204,9850000,76.0,3.0,13.0
205,6000000,42.0,2.0,2.0
206,14450000,42.0,1.0,4.0
207,10250000,25.8,1.0,3.0
208,14950000,34.7,1.0,32.0
209,64125027,84.7,3.0,22.0
210,9600000,76.4,2.0,15.0
211,39999999,76.0,3.0,4.0
212,26000000,72.9,3.0,2.0
214,22000000,51.0,2.0,13.0
215,48232400,117.64,3.0,20.0
216,39000000,84.0,3.0,32.0
217,12800000,70.0,2.0,8.0
218,5200000,29.1,1.0,1.0
219,21000000,105.0,3.0,15.0
220,181408800,263.0,5.0,4.0
221,75000000,100.0,3.0,30.0
223,20244900,58.0,2.0,29.0
224,8711645,72.51,3.0,12.0
225,4500000,31.1,1.0,1.0
226,11689742,45.8,2.0,25.0
227,15970240,38.39,2.0,20.0
228,67499999,112.0,3.0,5.0
229,11200000,45.0,1.0,8.0
230,8553702,24.0,1.0,23.0
231,65000000,141.7,4.0,3.0
232,160000000,165.6,5.0,3.0
233,9590000,56.0,2.0,7.0
234,85000000,219.0,6.0,20.0
235,16499000,51.7,2.0,11.0
236,49473264,97.0,3.0,10.0
237,8100000,44.0,1.0,14.0
238,115949118,175.0,6.0,9.0
239,8000000,54.4,2.0,17.0
240,12000000,64.0,2.0,21.0
241,13500000,44.3,1.0,8.0
242,7500000,44.0,2.0,3.0
243,8650000,50.0,2.0,5.0
244,6900000,35.4,1.0,10.0
245,18688892,45.0,1.0,3.0
246,8200000,55.0,2.0,3.0
247,97476995,92.7,2.0,3.0
248,10900000,55.0,2.0,7.0
249,14700000,55.0,2.0,2.0
250,12503895,50.84,3.0,9.0
251,18770000,35.29,1.0,23.0
252,7871621,29.2,1.0,4.0
253,16630480,37.6,1.0,7.0
254,115000000,219.1,5.0,14.0
255,13000000,43.3,1.0,19.0
257,31500000,84.0,3.0,13.0
259,11990000,39.0,2.0,23.0
260,29800000,72.0,3.0,10.0
261,11500000,80.0,3.0,14.0
262,10807314,41.0,1.0,4.0
263,30807000,94.5,3.0,16.0
264,27450000,46.0,1.0,5.0
265,15800000,58.5,2.0,15.0
266,27786732,61.0,2.0,7.0
267,16448947,64.0,3.0,7.0
268,13032732,56.68,2.0,17.0
269,33500000,78.0,3.0,3.0
270,9300000,38.8,1.0,5.0
271,5900000,32.3,1.0,2.0
272,7919590,62.8,2.0,16.0
273,68688000,162.0,4.0,9.0
275,10995000,38.6,1.0,3.0
276,22500000,115.3,4.0,2.0
277,8700000,37.8,1.0,7.0
278,16666650,46.8,2.0,7.0
279,5450000,45.2,2.0,4.0
280,18800000,54.0,2.0,16.0
281,14736885,56.49,2.0,33.0
282,14300000,54.0,2.0,2.0
283,12000000,36.4,2.0,9.0
284,9600000,44.8,2.0,1.0
285,13576974,52.0,2.0,9.0
286,6310054,42.16,1.0,15.0
287,35315806,81.1,3.0,2.0
288,19000000,66.1,2.0,15.0
289,20600000,101.9,3.0,17.0
290,12762140,55.5,2.0,25.0
291,24100000,72.0,3.0,5.0
292,18000000,63.5,3.0,7.0
293,22650000,50.0,2.0,9.0
294,11499000,40.0,1.0,11.0
295,12353041,37.2,1.0,17.0
296,22000000,131.0,3.0,13.0
297,9500000,36.0,1.0,18.0
298,25500000,75.6,3.0,3.0
299,9900000,74.5,3.0,3.0
300,9365544,44.7,2.0,3.0
301,57473999,101.2,3.0,13.0
302,9329717,24.0,1.0,22.0
303,36000000,133.4,5.0,3.0
304,8500000,53.0,1.0,6.0
305,8700000,41.6,1.0,10.0
306,38000000,81.0,3.0,12.0
307,7500000,58.0,2.0,6.0
309,12000000,44.4,2.0,9.0
310,33100000,80.9,3.0,8.0
311,17850000,53.9,1.0,10.0
312,14314830,37.9,1.0,37.0
313,10350000,51.4,2.0,10.0
314,11800000,36.2,1.0,2.0
315,8617137,23.9,1.0,12.0
316,60119000,79.0,2.0,15.0
317,32000000,92.0,3.0,18.0
318,7988437,23.6,1.0,9.0
319,9350000,49.0,2.0,9.0
320,12550000,44.5,2.0,3.0
321,15200000,41.4,1.0,18.0
322,10700000,39.0,1.0,10.0
323,12568248,55.0,2.0,10.0
324,10384300,42.0,2.0,14.0
325,10890000,80.0,3.0,18.0
326,38028477,47.6,2.0,37.0
327,249799917,486.0,6.0,3.0
328,14601001,67.8,2.0,6.0
329,17100000,54.4,2.0,11.0
330,110000000,214.0,5.0,4.0
331,7200000,32.3,1.0,6.0
332,16401600,80.4,3.0,4.0
333,28856100,63.7,2.0,30.0
334,13750000,56.9,3.0,2.0
335,6999999,41.0,1.0,2.0
336,18392100,60.7,3.0,9.0
337,57049920,130.0,4.0,42.0
338,20900000,40.0,1.0,4.0
339,9300000,55.5,1.0,4.0
340,12800000,38.0,1.0,19.0
341,8743128,35.0,1.0,15.0
342,9000000,54.0,2.0,13.0
343,202016839,261.0,5.0,3.0
344,6400000,35.0,1.0,9.0
345,12387507,42.0,2.0,2.0
346,8650000,63.0,2.0,4.0
347,33455445,47.9,2.0,17.0
348,17500000,40.0,1.0,40.0
349,7999999,21.0,1.0,5.0
350,15900000,60.0,2.0,7.0
351,12800000,58.1,2.0,22.0
352,32000000,62.0,1.0,18.0
353,13000000,68.0,3.0,4.0
354,8802680,35.9,1.0,10.0
355,12328420,32.5,1.0,15.0
356,14180000,51.1,2.0,5.0
358,6299000,38.0,1.0,6.0
359,10700000,62.0,2.0,7.0
360,24924000,67.0,2.0,19.0
361,22500000,59.0,2.0,8.0
362,21900000,74.0,3.0,2.0
363,7300000,40.3,1.0,1.0
364,11000000,62.0,2.0,14.0
365,11746790,25.0,1.0,19.0
366,32800000,103.5,3.0,3.0
367,11000000,30.4,1.0,2.0
368,14213880,87.74,3.0,16.0
369,26300000,78.4,3.0,8.0
370,26672380,63.4,2.0,38.0
371,9500000,44.0,2.0,8.0
372,29748862,55.9,2.0,25.0
373,29700000,43.5,2.0,2.0
374,4950000,41.0,2.0,2.0
375,14000000,76.0,3.0,22.0
376,10500000,60.0,3.0,3.0
377,18569050,55.43,2.0,26.0
378,6100000,35.7,1.0,12.0
379,17900000,38.0,1.0,16.0
380,36698524,77.0,2.0,10.0
381,31800000,83.0,3.0,16.0
382,8200000,55.0,2.0,13.0
383,92000000,95.0,2.0,5.0
384,14086000,50.8,2.0,7.0
385,145000000,194.0,4.0,3.0
386,61899000,114.0,3.0,3.0
387,13000000,36.3,1.0,7.0
388,75000000,150.8,3.0,5.0
389,10700000,24.6,1.0,5.0
390,13196700,39.0,1.0,25.0
391,15992158,58.9,2.0,5.0
392,19500000,71.0,2.0,4.0
393,13026200,38.0,1.0,26.0
394,11250000,47.0,2.0,2.0
395,15279672,56.84,2.0,11.0
396,13500000,39.0,2.0,6.0
397,7990000,42.3,1.0,5.0
398,22800000,76.0,3.0,13.0
399,93000000,205.0,5.0,2.0
400,10700000,50.1,2.0,1.0
401,10800000,32.6,1.0,18.0
402,44239084,83.0,2.0,9.0
403,33000000,67.0,3.0,3.0
404,6300000,32.9,1.0,8.0
405,78700000,138.0,4.0,30.0
406,9459810,27.0,1.0,4.0
407,12800000,62.5,3.0,11.0
408,4900000,39.0,1.0,16.0
409,8600000,35.0,1.0,1.0
410,11700000,34.0,1.0,8.0
411,12500000,58.1,3.0,6.0
412,16700000,65.0,3.0,10.0
413,29113740,90.21,3.0,8.0
414,12200000,44.9,2.0,2.0
415,27500000,51.0,2.0,14.0
416,59990000,180.3,3.0,4.0
417,17950000,41.0,1.0,26.0
418,28171100,41.01,1.0,20.0
419,124988377,133.55,2.0,4.0
420,17600000,100.6,3.0,14.0
421,26359667,68.81,3.0,27.0
422,5800000,30.3,1.0,5.0
423,51990000,158.0,5.0,6.0
424,120000000,236.0,6.0,7.0
425,15200000,75.0,3.0,6.0
426,26851720,47.0,2.0,42.0
428,35207893,66.5,2.0,3.0
429,18306120,39.9,1.0,22.0
430,33258280,75.7,2.0,5.0
431,7500000,34.0,1.0,15.0
432,5500000,36.0,1.0,2.0
433,10181393,33.15,1.0,20.0
435,6600000,33.0,1.0,6.0
436,28700000,68.0,2.0,2.0
437,5650000,30.4,1.0,4.0
438,12990000,60.0,3.0,7.0
439,10000000,42.2,1.0,3.0
441,36499000,67.8,2.0,2.0
442,13000000,52.4,1.0,2.0
443,21699000,60.0,2.0,11.0
445,24099600,76.0,3.0,6.0
446,129000000,220.0,5.0,3.0
447,43514580,68.7,3.0,13.0
449,20560000,43.35,1.0,17.0
450,12200000,44.6,2.0,3.0
452,18500000,41.1,2.0,9.0
453,185000000,178.0,4.0,13.0
454,6950000,48.0,2.0,5.0
455,17439368,69.0,2.0,20.0
456,32461200,71.0,2.0,2.0
457,15007420,43.0,1.0,9.0
458,24500000,94.7,3.0,5.0
459,10000000,29.6,1.0,2.0
460,14795211,62.0,3.0,14.0
461,9759506,40.2,2.0,7.0
462,72600000,132.4,3.0,15.0
463,5700000,33.7,1.0,1.0
464,11010092,35.9,1.0,21.0
465,10000000,63.74,3.0,4.0
466,11599971,36.01,2.0,23.0
467,15500000,89.6,3.0,10.0
468,28000000,43.0,1.0,4.0
469,14000000,69.5,2.0,17.0
470,32500000,73.0,2.0,10.0
471,16500000,57.0,2.0,2.0
472,14538982,49.0,2.0,13.0
473,7990000,53.5,3.0,1.0
474,104400000,93.0,3.0,12.0
475,23909600,76.0,3.0,4.0
476,21610808,98.5,4.0,13.0
477,5600000,46.0,2.0,4.0
478,26991402,93.13,2.0,7.0
479,9200000,38.0,1.0,34.0
480,35988969,61.1,2.0,7.0
481,18900000,104.8,3.0,10.0
482,5400000,34.86,1.0,5.0
483,14633448,61.4,3.0,13.0
484,7490000,38.0,1.0,17.0
485,12219820,59.4,2.0,10.0
486,133033120,160.0,4.0,3.0
487,17500000,47.2,2.0,4.0
488,17311902,69.5,3.0,4.0
489,15000000,77.6,2.0,8.0
490,12000000,60.5,2.0,6.0
491,17015077,44.73,2.0,2.0
492,42000000,113.0,3.0,6.0
493,7284401,20.25,1.0,24.0
494,30450000,94.0,4.0,6.0
495,15900000,91.41,3.0,11.0
496,19322707,65.96,2.0,5.0
497,23500000,62.0,2.0,5.0
498,9587970,39.9,1.0,9.0
499,144888783,200.0,5.0,4.0
500,12009480,34.0,1.0,6.0
501,140000000,255.0,4.0,37.0
502,15700000,64.0,2.0,13.0
503,427325330,363.0,6.0,9.0
504,104333916,153.6,5.0,22.0
505,19983320,41.0,1.0,5.0
506,14700000,49.17,3.0,3.0
507,12700000,44.1,2.0,2.0
508,13150000,35.4,1.0,14.0
509,18734235,57.3,2.0,13.0
510,4600601,23.3,1.0,6.0
511,31000000,78.3,3.0,11.0
512,12500000,68.5,3.0,13.0
513,47133964,77.7,2.0,38.0
514,7300000,43.0,1.0,12.0
515,178951989,175.75,3.0,13.0
516,7411510,37.3,1.0,5.0
517,10800000,42.0,2.0,8.0
518,28515994,59.7,2.0,14.0
519,15099999,55.6,2.0,5.0
521,12500000,70.4,3.0,18.0
522,14812720,42.0,2.0,22.0
523,34035976,98.0,3.0,13.0
524,13900000,64.0,3.0,9.0
525,11500000,31.0,1.0,2.0
526,95000000,214.0,3.0,3.0
527,29000000,94.5,3.0,8.0
528,16500000,50.0,2.0,3.0
529,13921600,45.2,1.0,19.0
530,11990000,59.0,2.0,6.0
532,92000000,260.0,5.0,6.0
533,14300000,57.2,2.0,20.0
534,30500000,106.0,3.0,11.0
535,41671820,73.0,2.0,7.0
536,16786440,47.1,2.0,6.0
537,21142336,73.6,4.0,12.0
538,13056825,36.0,1.0,21.0
539,70000000,126.0,4.0,10.0
540,28000000,95.0,3.0,3.0
542,20500000,41.0,1.0,12.0
543,9500000,37.0,1.0,12.0
544,45000000,133.2,4.0,4.0
545,10300000,33.3,1.0,12.0
546,158000000,234.0,5.0,8.0
547,29830000,58.4,2.0,26.0
548,8700000,32.3,1.0,22.0
549,85000000,164.0,5.0,5.0
550,21100000,45.0,1.0,13.0
551,17388224,74.6,3.0,5.0
553,33500000,75.0,3.0,21.0
554,7499000,46.8,1.0,2.0
556,20800000,75.1,3.0,1.0
557,33500000,66.5,2.0,19.0
558,9800000,35.0,1.0,3.0
559,10608260,86.3,2.0,5.0
560,36324320,87.0,3.0,26.0
561,11300000,23.0,1.0,2.0
562,31128816,85.92,3.0,32.0
563,199900000,203.0,5.0,7.0
564,17237810,50.3,1.0,26.0
565,15704640,46.0,2.0,12.0
566,105520177,117.6,3.0,14.0
568,5500000,31.5,1.0,6.0
569,16127618,75.0,4.0,9.0
570,6550000,37.3,1.0,21.0
571,16963500,78.9,3.0,15.0
572,9693111,61.31,2.0,22.0
573,59999999,199.1,4.0,2.0
574,8426018,54.13,3.0,17.0
575,6310054,42.16,1.0,12.0
576,10244958,57.7,2.0,2.0
577,16823556,65.0,2.0,16.0
578,10049559,34.0,1.0,2.0
579,110000000,215.0,5.0,4.0
580,12923097,61.4,3.0,3.0
581,9500000,45.7,1.0,14.0
582,18950000,76.6,3.0,2.0
583,8209131,19.0,1.0,12.0
584,9857040,61.3,3.0,19.0
585,11736900,48.3,1.0,5.0
586,32500000,120.0,3.0,2.0
587,75000000,100.0,3.0,11.0
588,10500000,43.7,2.0,2.0
589,4900000,30.4,1.0,3.0
590,16798000,52.3,2.0,17.0
591,13185600,49.0,1.0,2.0
592,15084248,56.56,2.0,9.0
593,19600000,66.7,2.0,8.0
594,23700000,57.2,2.0,10.0
595,21500000,82.0,3.0,8.0
596,56000000,147.0,5.0,14.0
597,12990000,94.0,3.0,4.0
598,125000000,170.7,4.0,4.0
599,35000000,67.5,3.0,10.0
601,16700000,60.0,2.0,1.0
602,6218244,37.12,1.0,18.0
603,6350000,39.0,1.0,2.0
604,13400000,52.0,2.0,3.0
605,23700000,62.0,2.0,5.0
606,13700000,52.0,2.0,11.0
607,33535500,84.9,2.0,2.0
608,8000000,48.1,2.0,4.0
609,60900000,100.0,4.0,5.0
610,15100000,50.4,2.0,11.0
611,17900000,58.0,2.0,5.0
612,10700000,35.0,1.0,11.0
613,16200000,84.0,3.0,10.0
614,47000000,107.6,3.0,5.0
615,24500000,79.5,3.0,6.0
616,19300000,59.7,3.0,3.0
617,18190000,37.84,1.0,3.0
618,8800000,27.7,1.0,10.0
619,19500000,94.0,3.0,15.0
620,10500000,62.0,3.0,8.0
621,84900000,90.0,2.0,5.0
622,9124200,27.0,1.0,10.0
623,7500000,54.0,2.0,14.0
624,6876221,35.48,2.0,21.0
625,29683311,81.11,3.0,5.0
627,7658871,22.2,1.0,12.0
628,16233126,59.9,3.0,6.0
629,11500000,36.9,2.0,2.0
630,9500000,37.8,1.0,1.0
631,45000000,55.0,3.0,16.0
632,7150000,52.0,1.0,4.0
633,15300000,61.7,4.0,7.0
634,5300000,43.0,2.0,5.0
635,11000000,37.0,1.0,18.0
636,23000000,81.0,3.0,9.0
637,14300000,37.1,1.0,8.0
638,12500000,46.6,2.0,9.0
639,10400000,45.6,2.0,5.0
640,26422634,103.1,3.0,2.0
641,16900000,110.6,3.0,11.0
642,10321020,28.0,1.0,19.0
643,18350000,63.3,3.0,11.0
644,18406563,40.76,1.0,44.0
645,20451051,40.4,1.0,9.0
646,22800000,68.3,2.0,11.0
647,48044052,98.0,3.0,25.0
648,8000000,49.1,1.0,16.0
649,13900000,44.4,1.0,6.0
650,6500000,52.0,2.0,4.0
651,9200000,36.5,1.0,4.0
652,12750000,81.1,3.0,12.0
653,13490000,80.6,3.0,21.0
654,15000000,44.7,2.0,16.0
655,20000000,82.0,3.0,4.0
656,8700000,39.0,1.0,12.0
657,19080392,41.0,1.0,52.0
658,37232540,82.01,2.0,49.0
660,6316160,20.0,1.0,13.0
661,24800000,59.0,1.0,9.0
662,15000000,58.4,3.0,8.0
663,47000000,127.0,4.0,4.0
666,54969416,108.3,3.0,15.0
667,7915800,27.6,1.0,9.0
668,21790000,37.0,1.0,24.0
669,42700000,61.0,2.0,7.0
671,7900000,42.0,2.0,20.0
672,15650000,74.95,3.0,3.0
673,16000000,75.8,3.0,10.0
674,6400000,34.1,1.0,4.0
675,66800000,99.4,3.0,3.0
677,18994500,40.0,2.0,27.0
678,16289299,40.0,2.0,25.0
679,13490000,40.5,1.0,2.0
680,11499000,44.5,2.0,7.0
681,13750000,70.3,2.0,6.0
682,18280340,79.41,3.0,31.0
683,120680000,126.36,3.0,28.0
684,5500000,33.4,1.0,11.0
685,12990000,40.0,1.0,14.0
686,14000000,40.0,1.0,17.0
687,33000000,68.0,3.0,9.0
688,28000000,75.0,3.0,15.0
689,58450000,167.0,4.0,26.0
690,7279826,20.0,1.0,24.0
691,19913300,47.0,1.0,23.0
692,10000000,46.7,2.0,3.0
693,26000276,105.0,3.0,11.0
694,40000000,100.0,3.0,2.0
695,7080314,22.4,1.0,4.0
696,19500000,89.5,3.0,1.0
697,18200000,55.0,2.0,12.0
698,27132400,47.0,2.0,45.0
699,13200000,73.0,3.0,13.0
700,25900000,69.0,2.0,26.0
701,13777000,60.0,2.0,3.0
702,65000000,120.0,4.0,3.0
703,26460000,68.27,3.0,26.0
704,15000000,39.8,1.0,3.0
705,13000000,50.4,2.0,1.0
706,23463936,64.0,2.0,30.0
707,41055836,68.0,2.0,10.0
708,19500000,72.9,3.0,5.0
709,11800000,63.6,2.0,8.0
710,43095092,98.4,3.0,8.0
711,10900000,44.9,2.0,10.0
712,9100000,52.0,2.0,4.0
713,12700000,55.8,3.0,9.0
714,21600000,64.0,2.0,20.0
715,32000000,50.0,2.0,17.0
716,21353655,55.8,2.0,22.0
717,25000000,57.0,2.0,7.0
718,175361840,210.9,3.0,4.0
719,16080000,53.6,2.0,13.0
720,9000000,59.0,3.0,11.0
721,6590000,34.5,2.0,16.0
722,14200000,53.5,2.0,6.0
723,8300000,52.0,2.0,2.0
724,12500000,30.6,1.0,2.0
725,14735226,62.99,3.0,18.0
726,93870000,170.6,3.0,10.0
727,13000000,60.0,2.0,5.0
728,35000000,91.0,3.0,2.0
729,10200000,38.6,2.0,17.0
730,20000000,45.3,1.0,3.0
731,26310182,65.24,2.0,19.0
732,51724700,98.9,3.0,19.0
733,22500000,77.7,3.0,7.0
734,17000000,52.1,2.0,13.0
735,41055837,68.3,2.0,10.0
736,16995900,89.0,4.0,24.0
737,13800000,54.0,2.0,8.0
738,16000000,63.9,3.0,3.0
739,11076329,65.3,3.0,6.0
740,11000000,44.5,1.0,2.0
741,10723386,42.0,2.0,2.0
742,173500000,212.0,5.0,4.0
743,12500000,38.5,1.0,4.0
744,64065484,116.0,4.0,16.0
745,18722000,81.0,3.0,10.0
746,5990000,41.1,1.0,10.0
747,16500000,62.9,2.0,14.0
748,10859000,64.6,2.0,10.0
749,15088908,40.1,1.0,3.0
750,18000000,107.0,4.0,17.0
751,11800000,47.6,1.0,9.0
752,33208200,87.39,3.0,5.0
753,12700000,41.2,1.0,16.0
754,6300000,42.3,1.0,5.0
755,14733252,77.52,3.0,9.0
756,11312542,44.6,1.0,4.0
757,11500000,40.5,2.0,5.0
758,9999999,55.0,2.0,13.0
759,9650000,34.9,1.0,25.0
760,25059440,67.0,2.0,33.0
761,6749952,26.0,1.0,15.0
762,22000000,90.7,4.0,5.0
763,98000000,112.0,4.0,2.0
764,22000000,65.7,3.0,4.0
765,33400000,70.0,3.0,9.0
766,10990000,42.8,2.0,3.0
767,6500000,37.4,1.0,3.0
768,24700000,68.0,2.0,5.0
769,12800000,45.2,2.0,3.0
770,9500000,58.0,2.0,10.0
772,10600000,50.0,2.0,3.0
773,41990000,74.0,3.0,7.0
774,26500000,84.7,3.0,4.0
775,14600000,41.0,2.0,5.0
776,7350000,47.0,1.0,14.0
777,29800000,70.0,2.0,12.0
778,13400000,66.1,2.0,12.0
779,145000000,300.0,6.0,9.0
780,28000000,91.0,4.0,7.0
781,13000000,44.0,2.0,12.0
782,28350000,60.06,3.0,23.0
783,6800000,47.0,2.0,2.0
784,15200000,48.9,2.0,3.0
785,22000000,87.1,3.0,13.0
786,9200000,31.7,1.0,1.0
787,10121541,38.0,1.0,12.0
788,8800000,34.0,1.0,6.0
789,10600000,83.1,3.0,14.0
790,12600000,53.0,2.0,23.0
791,9800000,76.2,3.0,2.0
792,15946000,62.0,2.0,2.0
793,15800000,56.0,2.0,8.0
794,20000000,60.0,2.0,11.0
795,9900000,32.0,1.0,3.0
796,14000000,82.4,4.0,16.0
797,11700000,52.2,2.0,5.0
798,10500000,32.0,1.0,8.0
799,16800000,67.7,3.0,2.0
800,18500000,53.6,2.0,14.0
801,13200000,47.0,2.0,9.0
802,35490000,66.38,2.0,18.0
803,9290249,33.8,1.0,4.0
804,12121610,71.5,2.0,11.0
805,42500000,117.0,3.0,15.0
806,7350000,44.6,2.0,6.0
807,110000000,144.1,5.0,12.0
808,10200000,37.5,1.0,5.0
809,9450000,33.0,1.0,12.0
810,16500000,87.0,3.0,6.0
811,12900000,39.4,1.0,14.0
812,12500000,62.2,2.0,11.0
